"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Crime // Punishment","WBG","M","4442","3.99","874","5.20","2853","55.7%","54.2%","442","","722","56.9%","1164","56.6%","1667","52.5%","4.1pp"
"Cruel Ultimatum","UBR","R","11438","4.83","2056","6.34","4973","41.5%","52.8%","794","55.5%","1400","61.7%","2194","59.5%","2732","47.0%","12.5pp"
"Decimate","RG","R","13754","6.15","1502","9.68","480","5.3%","","81","","116","","197","","283","",""
"Decisive Denial","UG","U","53835","6.31","7552","9.03","18356","41.9%","52.1%","2912","50.7%","4579","55.8%","7491","53.8%","10694","50.7%","3.1pp"
"Detention Sphere","WU","R","9837","4.11","1834","5.19","6718","62.8%","52.2%","1047","53.5%","1819","55.6%","2866","54.8%","3838","50.1%","4.7pp"
"Endless Detour","WUG","R","14979","6.31","1867","9.41","1484","13.3%","52.4%","223","","397","","620","54.8%","858","50.6%","4.3pp"
"Fractured Identity","WU","M","2361","2.31","1296","2.28","7121","90.6%","57.0%","1187","61.8%","1892","64.6%","3079","63.5%","3999","51.9%","11.6pp"
"Hindering Light","WU","U","57756","7.32","6693","10.73","6712","17.2%","48.4%","1055","45.1%","1865","50.5%","2920","48.5%","3784","48.4%","0.2pp"
"Humiliate","WB","U","57538","7.06","7412","10.19","11765","26.9%","55.3%","1951","57.8%","2932","57.5%","4883","57.6%","6873","53.6%","4.0pp"
"Hypothesizzle","UR","U","46719","5.31","8141","7.03","28482","61.5%","50.4%","4609","49.4%","7847","54.4%","12456","52.5%","15930","48.6%","3.9pp"
"Ionize","UR","R","12348","5.25","1749","7.46","4362","43.3%","50.9%","716","47.3%","1238","56.2%","1954","53.0%","2391","48.8%","4.1pp"
"Oko, Thief of Crowns","UG","M","1336","1.31","1128","1.30","6484","95.1%","56.8%","1133","63.5%","1626","63.9%","2759","63.8%","3673","51.3%","12.5pp"
"Outlaws' Merriment","WR","R","6369","2.85","2115","3.04","10082","81.2%","54.4%","1708","57.8%","2382","57.1%","4090","57.4%","5986","52.1%","5.3pp"
"Ride Down","WR","U","54240","6.43","6251","9.51","12573","34.5%","52.8%","1959","51.2%","2792","53.6%","4751","52.6%","7818","52.9%","-0.3pp"
"Savage Smash","RG","U","47713","5.27","7726","7.27","28208","61.7%","54.2%","4571","52.0%","6346","54.8%","10917","53.6%","17245","54.6%","-0.9pp"
"Siphon Insight","UB","R","10362","4.41","1941","5.84","7255","64.5%","52.7%","1247","50.4%","2040","56.8%","3287","54.3%","3947","51.4%","3.0pp"
"Terminal Agony","BR","U","49954","5.73","6294","8.38","18540","50.9%","52.4%","2974","51.0%","4614","55.0%","7588","53.5%","10889","51.6%","1.9pp"
"Tyrant's Scorn","UB","U","47870","5.39","8075","7.19","29915","63.7%","53.1%","5089","54.4%","8361","59.0%","13450","57.3%","16323","49.5%","7.8pp"
"Vanishing Verse","WB","R","10463","4.47","1837","5.91","7002","64.0%","55.9%","1152","57.4%","1764","61.0%","2916","59.6%","4073","53.4%","6.2pp"
"Villainous Wealth","UBG","R","8941","3.92","2437","4.53","10294","73.2%","52.6%","1659","49.3%","2779","58.0%","4438","54.7%","5724","50.6%","4.1pp"
"Void Rend","WUB","R","13652","5.82","1732","8.79","2161","21.1%","52.0%","356","","560","60.0%","916","56.8%","1238","48.3%","8.5pp"
"Voidslime","UG","R","14165","6.11","1706","9.35","1535","15.4%","48.7%","247","","390","","637","50.9%","887","47.1%","3.7pp"
"Contagion Engine","","M","2381","2.27","1036","2.37","5211","86.7%","53.1%","823","49.1%","1345","57.4%","2168","54.2%","3030","52.3%","2.0pp"
"Grindstone","","M","5464","4.73","561","7.20","703","21.5%","45.5%","126","","179","","305","","396","",""
"Mindslaver","","M","3467","3.16","793","3.65","3061","68.2%","51.2%","493","","785","51.8%","1278","50.5%","1779","51.8%","-1.3pp"
"Unlicensed Hearse","","R","7321","3.08","1620","3.74","7159","77.9%","51.4%","1219","51.0%","1741","53.2%","2960","52.3%","4193","50.7%","1.7pp"
"Dust Bowl","","R","14917","6.39","1558","10.11","442","4.9%","","72","","110","","182","","258","",""
