"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Coerced to Kill","UB","U","102220","3.95","27722","4.78","124844","74.0%","55.3%","20215","56.3%","35226","60.2%","55441","58.8%","68530","52.4%","6.4pp"
"Crowd-Control Warden","WG","C","335535","4.91","58280","7.09","261060","73.6%","55.2%","44248","53.8%","62124","55.2%","106372","54.6%","154563","55.5%","-0.9pp"
"Curious Cadaver","UB","U","139804","5.58","20420","7.90","50689","42.4%","49.9%","8226","47.4%","13838","51.9%","22064","50.2%","28513","49.7%","0.5pp"
"Deadly Complication","BR","U","123335","4.82","17256","6.88","56381","54.6%","53.1%","9269","53.3%","14482","55.3%","23751","54.5%","32494","52.0%","2.5pp"
"Detective's Satchel","UR","U","104548","4.20","26359","5.01","112507","70.0%","55.4%","18592","56.1%","32263","59.5%","50855","58.2%","61556","53.0%","5.2pp"
"Dog Walker","WR","C","233275","3.45","76089","4.26","435757","91.6%","57.4%","78120","58.2%","100898","57.5%","179018","57.8%","256620","57.2%","0.6pp"
"Doppelgang","UG","R","26566","2.61","13908","2.54","74827","86.3%","57.1%","12080","58.3%","20914","64.6%","32994","62.3%","41704","53.0%","9.3pp"
"Drag the Canal","UB","R","40560","3.69","8867","4.57","30588","58.1%","52.8%","5270","53.2%","8691","56.5%","13961","55.2%","16486","50.7%","4.6pp"
"Etrata, Deadly Fugitive","UB","M","10318","2.11","4817","2.11","22270","77.2%","54.2%","3818","59.5%","6158","57.5%","9976","58.3%","12164","50.7%","7.6pp"
"Evidence Examiner","UG","U","123842","4.89","28597","5.97","122821","70.7%","55.4%","21047","56.1%","33132","58.8%","54179","57.7%","68405","53.6%","4.1pp"
"Ezrim, Agency Chief","WU","R","18436","1.88","10638","1.78","54219","82.4%","57.0%","8994","62.8%","15146","63.1%","24140","63.0%","29862","52.2%","10.8pp"
"Faerie Snoop","UB","C","369552","5.72","54405","8.25","198737","60.8%","53.5%","34184","51.8%","52720","55.4%","86904","54.0%","111333","53.2%","0.8pp"
"Gadget Technician","UR","C","324270","4.76","67775","6.52","319807","77.2%","55.5%","55177","55.1%","83003","56.2%","138180","55.8%","181413","55.3%","0.4pp"
"Gleaming Geardrake","UR","U","97172","4.01","25583","4.58","111278","70.7%","56.6%","19384","61.1%","31427","59.7%","50811","60.2%","60410","53.5%","6.7pp"
"Granite Witness","WU","C","294170","4.18","64461","5.76","337225","85.5%","55.8%","58513","54.5%","84562","56.8%","143075","55.8%","193904","55.8%","0.1pp"
"Ill-Timed Explosion","UR","R","29849","2.90","11991","3.00","55842","76.0%","56.1%","9646","59.6%","15738","61.0%","25384","60.4%","30350","52.4%","8.0pp"
"Insidious Roots","BG","U","134812","5.61","21933","7.52","55256","42.9%","50.2%","9525","48.5%","15199","53.3%","24724","51.5%","30094","49.1%","2.4pp"
"Izoni, Center of the Web","BG","R","16926","1.70","11724","1.66","67608","92.3%","57.3%","11332","62.3%","18013","67.1%","29345","65.2%","37348","50.7%","14.5pp"
"Judith, Carnage Connoisseur","BR","R","27217","2.69","7069","2.94","27477","67.0%","50.5%","4526","48.3%","7144","51.1%","11670","50.0%","15717","50.8%","-0.8pp"
"Kaya, Spirits' Justice","WB","M","6880","1.38","4926","1.35","25698","86.1%","54.7%","4312","60.0%","6782","60.2%","11094","60.1%","14501","50.6%","9.5pp"
"Kellan, Inquisitive Prodigy","UG","R","21619","2.16","11113","2.15","57725","84.1%","56.4%","9805","63.0%","15567","59.1%","25372","60.6%","32086","53.1%","7.5pp"
"Kylox, Visionary Inventor","UR","R","61610","5.23","7741","8.12","2555","5.5%","46.0%","379","","702","46.0%","1081","44.5%","1472","47.1%","-2.7pp"
"Kylox's Voltstrider","UR","M","16268","3.13","4638","3.44","16551","60.0%","53.8%","2709","53.2%","4601","57.6%","7310","56.0%","9235","52.0%","4.0pp"
"Lazav, Wearer of Faces","UB","R","27689","2.66","9395","2.85","40562","72.4%","53.6%","6997","58.5%","11210","57.0%","18207","57.6%","22179","50.3%","7.3pp"
"Leyline of the Guildpact","WUBRG","R","55623","4.72","6991","7.33","5842","14.2%","46.7%","3","","1454","43.7%","1457","43.7%","4345","47.6%","-3.9pp"
"Lightning Helix","WR","U","81016","3.18","23812","3.76","119700","81.0%","57.3%","20016","57.9%","28322","59.6%","48338","58.9%","71338","56.2%","2.7pp"
"Meddling Youths","WR","U","121989","4.60","21667","6.29","89112","67.4%","55.9%","13698","54.5%","20820","55.0%","34518","54.8%","54609","56.6%","-1.8pp"
"Niv-Mizzet, Guildpact","WUBRG","R","47867","4.14","9250","5.36","23525","43.1%","52.2%","3818","53.5%","6637","57.6%","10455","56.1%","12796","48.7%","7.4pp"
