"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Highway Robbery","R","C","135019","7.27","16637","10.39","35335","36.7%","51.6%","6110","49.1%","8656","53.5%","14766","51.7%","20543","51.6%","0.0pp"
"Irascible Wolverine","R","C","121152","5.83","18318","8.08","69826","65.5%","52.6%","12140","51.2%","16657","52.9%","28797","52.2%","40985","52.9%","-0.7pp"
"Iron-Fist Pulverizer","R","C","133989","7.15","14009","10.63","23332","28.8%","50.3%","3675","49.4%","5824","52.0%","9499","51.0%","13856","49.8%","1.2pp"
"Longhorn Sharpshooter","R","U","26042","2.91","7910","3.43","42144","90.0%","54.2%","7321","55.0%","10014","57.6%","17335","56.5%","24758","52.5%","3.9pp"
"Magda, the Hoardmaster","R","R","5914","1.65","3097","1.66","16226","90.7%","52.8%","2913","55.4%","3843","54.3%","6756","54.8%","9443","51.3%","3.5pp"
"Magebane Lizard","R","U","53526","7.02","5154","10.72","4153","14.0%","48.6%","708","46.2%","972","45.6%","1680","45.8%","2471","50.4%","-4.6pp"
"Mine Raider","R","C","124654","6.12","15198","8.84","51394","58.3%","51.9%","8810","50.6%","11894","52.0%","20704","51.4%","30658","52.2%","-0.8pp"
"Outlaws' Fury","R","C","139697","8.01","15619","11.52","17140","18.9%","52.2%","2627","50.9%","3779","52.9%","6406","52.1%","10726","52.2%","-0.1pp"
"Prickly Pair","R","C","103711","4.73","20262","6.16","99230","83.3%","53.9%","17353","54.4%","22919","53.9%","40272","54.1%","58885","53.7%","0.4pp"
"Quick Draw","R","C","138906","7.96","14575","11.59","12595","14.9%","50.6%","1936","48.6%","2860","50.5%","4796","49.7%","7780","51.1%","-1.3pp"
"Quilled Charger","R","C","133606","6.93","15537","10.13","36118","40.0%","52.8%","5889","51.4%","7913","52.2%","13802","51.9%","22211","53.3%","-1.4pp"
"Reckless Lackey","R","C","124048","6.21","14507","8.92","48154","57.4%","52.2%","8397","53.9%","11070","51.1%","19467","52.3%","28662","52.2%","0.2pp"
"Resilient Roadrunner","R","U","42650","4.86","6640","6.64","27576","71.4%","52.8%","4848","53.1%","6354","52.7%","11202","52.9%","16371","52.7%","0.1pp"
"Return the Favor","R","U","51405","6.58","5881","9.55","9206","27.2%","49.9%","1404","46.2%","2248","50.7%","3652","49.0%","5540","50.5%","-1.5pp"
"Rodeo Pyromancers","R","C","131921","7.15","12790","10.79","17542","23.9%","48.1%","2746","48.8%","4308","47.9%","7054","48.2%","10487","48.0%","0.2pp"
"Scalestorm Summoner","R","U","32458","3.75","6828","4.68","32247","79.7%","54.4%","5533","56.5%","7211","53.9%","12744","55.0%","19493","54.0%","1.0pp"
"Scorching Shot","R","U","32019","3.60","6429","4.59","32317","85.6%","53.4%","5337","53.1%","7669","55.8%","13006","54.7%","19265","52.5%","2.2pp"
"Slickshot Show-Off","R","R","7498","2.11","2565","2.19","11737","80.7%","51.2%","2098","50.6%","2783","52.6%","4881","51.8%","6839","50.8%","1.0pp"
"Stingerback Terror","R","R","5633","1.62","3265","1.60","18152","92.2%","55.3%","3154","58.0%","4403","59.8%","7557","59.1%","10556","52.5%","6.6pp"
"Take for a Ride","R","U","51016","6.34","6948","8.96","14599","36.5%","51.5%","2289","50.5%","3422","53.2%","5711","52.1%","8862","51.1%","1.0pp"
"Terror of the Peaks","R","M","2091","1.23","1629","1.21","9031","92.8%","54.7%","1523","57.8%","2166","60.9%","3689","59.6%","5286","51.1%","8.6pp"
"Thunder Salvo","R","C","105618","4.91","16663","6.70","73852","76.8%","52.4%","12717","51.9%","17905","53.8%","30622","53.0%","43110","51.9%","1.0pp"
"Trick Shot","R","C","133491","7.06","14666","10.40","24744","28.9%","51.5%","3794","49.1%","5843","54.0%","9637","52.1%","15073","51.1%","0.9pp"
"Aloe Alchemist","G","U","27425","3.08","9572","3.64","54446","93.5%","57.2%","9596","59.0%","12430","58.1%","22026","58.5%","32298","56.3%","2.1pp"
"Ankle Biter","G","C","124549","6.05","18301","8.75","67701","61.9%","55.3%","11734","55.5%","15426","53.8%","27160","54.5%","40343","55.8%","-1.3pp"
"Beastbond Outcaster","G","U","28616","3.24","9926","3.76","56509","92.8%","57.8%","9796","59.9%","13109","58.9%","22905","59.3%","33501","56.8%","2.5pp"
"Betrayal at the Vault","G","U","43167","4.99","8834","6.52","38665","72.7%","56.2%","5867","54.6%","8941","59.2%","14808","57.4%","23786","55.4%","2.0pp"
"Bristlepack Sentry","G","C","122621","5.90","23164","7.99","101913","72.6%","56.7%","18129","57.3%","22487","55.7%","40616","56.4%","61131","56.8%","-0.4pp"
"Bristly Bill, Spine Sower","G","M","2329","1.33","1929","1.33","11356","94.1%","59.0%","2068","68.2%","2618","61.7%","4686","64.5%","6630","55.1%","9.5pp"
"Cactarantula","G","C","96322","4.45","22467","5.72","118972","87.2%","56.9%","18947","56.7%","28138","58.6%","47085","57.9%","71629","56.2%","1.7pp"
"Colossal Rattlewurm","G","R","5326","1.53","3908","1.53","22537","94.7%","57.9%","3855","61.0%","5269","62.8%","9124","62.0%","13302","55.0%","7.1pp"
"Dance of the Tumbleweeds","G","C","106868","4.88","21756","6.59","103558","79.0%","56.8%","17911","55.0%","24436","59.4%","42347","57.6%","60871","56.2%","1.4pp"
"Drover Grizzly","G","C","115665","5.41","22268","7.37","108320","80.3%","57.0%","18878","56.4%","23977","56.3%","42855","56.3%","64594","57.4%","-1.1pp"
"Freestrider Commando","G","C","112760","5.14","18885","7.30","84552","75.1%","54.8%","14484","53.9%","19549","53.9%","34033","53.9%","50509","55.3%","-1.4pp"
"Freestrider Lookout","G","R","6685","1.85","3672","1.90","19941","92.2%","55.2%","3579","57.3%","4645","56.0%","8224","56.6%","11696","54.2%","2.4pp"
"Full Steam Ahead","G","U","51134","6.39","7028","9.19","15907","38.1%","54.6%","2361","50.8%","3615","56.0%","5976","54.0%","9919","54.9%","-0.9pp"
"Giant Beaver","G","C","99519","4.44","21975","5.90","120552","90.6%","56.7%","20102","56.6%","27687","57.1%","47789","56.9%","71845","56.5%","0.4pp"
"Gold Rush","G","U","49834","5.83","7707","8.35","23453","50.8%","54.6%","3729","52.2%","5324","54.5%","9053","53.5%","14339","55.2%","-1.7pp"
"Goldvein Hydra","G","M","2355","1.34","1909","1.34","10923","94.2%","56.7%","1985","57.5%","2610","61.8%","4595","59.9%","6241","54.2%","5.8pp"
"Hardbristle Bandit","G","C","83267","3.72","21116","4.74","114959","90.7%","56.0%","20741","59.3%","25791","53.5%","46532","56.1%","68133","56.0%","0.1pp"
"Intrepid Stablemaster","G","U","26433","2.99","8926","3.55","51169","94.0%","57.0%","9241","60.4%","11188","56.0%","20429","58.0%","30653","56.4%","1.5pp"
"Map the Frontier","G","U","51031","6.34","6262","9.41","11005","30.4%","51.7%","1800","48.9%","2654","51.1%","4454","50.2%","6524","52.6%","-2.4pp"
"Ornery Tumblewagg","G","R","5141","1.45","3987","1.45","23590","95.5%","58.5%","4174","65.9%","5509","62.3%","9683","63.8%","13658","54.5%","9.3pp"
"Outcaster Greenblade","G","U","24533","2.86","11178","3.12","63340","91.7%","58.9%","11533","62.3%","14928","62.5%","26461","62.4%","36704","56.4%","6.0pp"
"Outcaster Trailblazer","G","R","5924","1.69","3681","1.70","21067","93.8%","57.2%","3790","61.0%","4900","59.0%","8690","59.9%","12341","55.3%","4.6pp"
"Patient Naturalist","G","C","106291","4.88","26931","6.20","137760","84.2%","57.2%","24570","57.8%","31352","57.3%","55922","57.5%","81567","57.0%","0.6pp"
"Railway Brawler","G","M","2199","1.28","1853","1.27","11184","95.7%","59.1%","1984","67.1%","2654","65.4%","4638","66.2%","6449","53.8%","12.4pp"
"Rambling Possum","G","U","34801","3.87","8914","4.88","47297","89.0%","56.2%","8180","55.9%","10743","56.2%","18923","56.1%","28015","56.2%","-0.1pp"
"Raucous Entertainer","G","U","36102","4.01","8440","5.15","43189","86.1%","55.2%","7603","53.4%","9672","53.8%","17275","53.6%","25843","56.1%","-2.5pp"
