"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bruse Tarl, Roving Rancher","WR","R","12725","2.17","6568","2.16","35376","88.5%","56.3%","6132","60.5%","8329","61.2%","14461","60.9%","20821","52.9%","8.0pp"
"Cactusfolk Sureshot","RG","U","59718","4.11","12581","5.21","57178","75.4%","55.5%","9528","58.1%","12890","57.0%","22418","57.5%","34706","54.2%","3.3pp"
"Congregation Gryff","WG","U","52676","3.62","15664","4.23","83279","86.0%","57.7%","14545","58.6%","19004","58.3%","33549","58.4%","48440","57.0%","1.4pp"
"Doc Aurlock, Grizzled Genius","UG","U","76256","5.56","11639","7.55","32369","48.1%","51.8%","5455","53.8%","8089","52.5%","13544","53.0%","18589","50.8%","2.2pp"
"Eriette, the Beguiler","WUB","R","37047","5.64","4323","8.79","2339","9.3%","50.7%","388","","623","55.2%","1011","52.5%","1329","49.4%","3.1pp"
"Ertha Jo, Frontier Mentor","WR","U","66463","4.55","11813","6.04","45353","64.6%","54.3%","7398","55.1%","10328","56.5%","17726","55.9%","27634","53.3%","2.6pp"
"Form a Posse","WR","U","75993","5.23","12043","7.26","40317","56.8%","52.9%","6331","51.4%","9239","55.9%","15570","54.1%","24706","52.0%","2.1pp"
"Ghired, Mirror of the Wilds","WRG","M","11127","3.58","2025","4.54","5731","48.4%","53.4%","958","51.7%","1219","56.5%","2177","54.4%","3550","52.7%","1.7pp"
"The Gitrog, Ravenous Ride","BG","M","4507","1.55","3161","1.52","17659","92.0%","55.9%","2937","57.7%","4377","62.0%","7314","60.3%","10045","52.3%","8.0pp"
"Honest Rutstein","BG","U","48100","3.35","16966","3.81","87662","85.0%","56.0%","14816","56.2%","21492","60.7%","36308","58.8%","50797","54.0%","4.8pp"
"Intimidation Campaign","UB","U","68567","4.86","14487","6.02","57651","68.5%","52.5%","9792","50.6%","15921","56.6%","25713","54.3%","31483","50.8%","3.5pp"
"Jem Lightfoote, Sky Explorer","WU","U","66212","4.74","10766","6.33","37129","60.6%","50.3%","6133","49.6%","10138","52.9%","16271","51.7%","20895","49.2%","2.4pp"
"Jolene, Plundering Pugilist","RG","U","61054","4.19","12409","5.36","54696","73.3%","55.0%","9428","56.5%","12365","56.2%","21793","56.3%","32885","54.0%","2.3pp"
"Kambal, Profiteering Mayor","WB","R","21243","3.50","4633","4.18","18011","66.7%","52.6%","3025","54.3%","4409","55.8%","7434","55.2%","10554","50.8%","4.5pp"
"Kellan Joins Up","WUG","R","37114","5.79","4409","8.98","1533","5.9%","45.7%","240","","388","","628","42.0%","892","48.0%","-5.9pp"
